player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Dorin Dickerson,5750,TE,4,DET,32,0,2,30,0,0,0,0,0,62.6,23.1,79.7,0,0,1,1,1,0
Jim Dray,5756,TE,16,ARZ,462,0,122,340,0,0,0,0,0,66.2,67.3,68.2,1,6,6,13,4,0
Ricardo Mathews,5761,DI,3,IND,3,0,0,3,0,0,0,0,0,72.5,,72.2,0,0,0,0,0,0
Erik Lorig,5775,FB,15,TB,303,0,41,262,0,0,0,0,0,74.0,78.6,74.9,0,0,4,4,2,1
Michael Palmer,5784,TE,13,PIT,41,0,9,32,0,0,0,0,0,58.2,75.9,57.5,0,0,0,0,0,0
Logan Paulsen,5795,TE,16,WAS,456,0,91,365,1,0,0,0,4,58.4,63.4,69.9,0,5,7,12,3,0
Joique Bell,5797,HB,16,DET,82,0,61,21,0,0,0,0,0,76.0,77.2,57.6,1,2,2,5,0,0
Jon Weeks,5800,LS,1,HST,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Vincent Rey,5811,LB,1,CIN,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Mike Windt,5813,LS,2,SD,2,0,0,2,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Thaddeus Lewis,5817,QB,6,BUF,341,190,0,151,0,0,0,0,0,61.0,,60.0,5,0,0,5,0,0
Jake Ballard,5822,TE,8,ARZ,123,0,10,113,0,0,0,0,0,69.8,69.3,59.6,0,0,1,1,1,0
Jim Cordle,5826,C,10,NYG,481,0,287,194,0,0,489,0,0,66.0,65.0,66.0,4,3,6,13,2,0
Victor Cruz,5827,WR,14,NYG,257,0,0,257,0,0,0,0,0,76.9,,66.6,0,0,0,0,2,0
Cassius Vaughn,5845,CB,1,IND,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,3,1
Austin Howard,5847,T,16,NYJ,1050,0,581,469,0,0,0,0,1064,70.7,69.9,65.8,2,15,21,38,2,0
